Incoming Calls,Outgoing Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Sales Rep
200,130,193,96.50%,7,00:00:17,00:02:23,00:03:40,79.29%,Rep09
189,298,179,94.71%,10,00:00:22,00:02:10,00:06:41,78.07%,Rep09
169,374,159,94.08%,10,00:00:22,00:02:23,00:03:26,73.65%,Rep02
41,321,40,97.56%,1,00:00:25,00:02:32,00:02:05,68.29%,Rep05
218,357,187,85.78%,31,00:00:48,00:02:15,00:05:13,52.11%,Rep07
194,226,185,95.36%,9,00:00:21,00:02:10,00:02:45,71.58%,Rep02
176,58,172,97.73%,4,00:00:16,00:02:20,00:02:15,82.08%,Rep10
181,318,179,98.90%,2,00:00:18,00:02:21,00:02:17,80.56%,Rep06
159,211,151,94.97%,8,00:00:29,00:01:59,00:03:41,61.01%,Rep10
144,349,135,93.75%,9,00:00:24,00:02:12,00:06:25,70.63%,Rep05
30,191,29,96.67%,1,00:00:33,00:02:58,00:02:16,60.00%,Rep01
197,315,185,93.91%,12,00:00:24,00:02:18,00:02:20,68.23%,Rep04
56,238,47,83.93%,9,00:00:24,00:02:22,00:02:48,58.93%,Rep08
182,379,153,84.07%,29,00:00:38,00:02:17,00:10:41,53.89%,Rep08
178,381,166,93.26%,12,00:00:30,00:02:24,00:05:12,62.07%,Rep07
183,339,164,89.62%,19,00:00:25,00:02:04,00:03:40,65.91%,Rep04
